Date,Open,High,Low,Close,USD_to_VND,Inflation_Rate,Interest_Rate
1/1/2010,25632.85451,26045.33224,25220.37678,26045.33224,25226.90916,2.176559269,5.079971777
1/2/2010,24238.57235,25185.5221,23291.62259,23291.62259,25224.02151,2.068055054,5.211848967
1/3/2010,26094.93846,26996.98357,25192.89335,26996.98357,25223.03321,2.067429925,4.812964681
1/4/2010,24482.47449,25205.15024,23759.79874,23759.79874,25227.13108,1.910257333,5.181124637
1/5/2010,26180.18832,27161.36292,25199.01372,27161.36292,25234.45758,2.176906205,4.627482269
1/6/2010,24891.83088,25232.98771,24550.67406,24550.67406,25237.72843,2.137671809,5.008625352
1/7/2010,23066.49547,25051.42175,21081.56918,21081.56918,25238.31165,1.915640998,4.890815614
1/8/2010,24006.75215,25185.98331,22827.52099,22827.52099,25246.9004,1.952523676,4.719091723
1/9/2010,24701.81351,25233.41471,24170.21232,24170.21232,25245.10678,2.125465604,4.821295575
1/10/2010,26978.42573,28824.00503,25132.84643,28824.00503,25251.01748,2.179614738,4.871868855
1/11/2010,26387.03116,27575.95641,25198.1059,27575.95641,25249.36589,1.873531396,4.960689664
1/12/2010,27302.11133,29518.85358,25085.36908,29518.85358,25251.83713,1.899628923,4.89503007
1/13/2010,27338.99855,29599.43509,25078.56201,29599.43509,25251.18603,1.985621324,5.016005195
1/14/2010,24575.71977,25232.81406,23918.62547,23918.62547,25250.86581,1.782890597,4.833968337
1/15/2010,25010.74966,25246.45954,24775.03977,24775.03977,25248.70209,2.001904516,4.90462846
1/16/2010,24737.03994,25245.73233,24228.34754,24228.34754,25256.41271,2.118574351,4.942186787
1/17/2010,24404.35417,25223.74331,23584.96504,23584.96504,25252.21053,1.856136298,5.036419244
1/18/2010,22923.26663,25033.92034,20812.61292,20812.61292,25247.96646,2.012710696,5.169769456
1/19/2010,25241.50057,25260.1133,25222.88785,25222.88785,25260.12703,1.94182293,5.170732601
1/20/2010,23641.69557,25161.34309,22122.04805,22122.04805,25265.73346,2.163994595,5.047496798
1/21/2010,25208.91305,25251.98485,25165.84125,25165.84125,25252.05857,1.943020814,5.086050603
1/22/2010,27919.85327,30873.4538,24966.25274,30873.4538,25248.8177,2.151899309,5.062373383
1/23/2010,24595.67528,25222.05961,23969.29095,23969.29095,25238.42878,1.940254493,4.937071565
1/24/2010,25478.71447,25726.84404,25230.58491,25726.84404,25232.97806,2.077117581,5.180116601
1/25/2010,26358.03981,27552.91352,25163.1661,27552.91352,25214.9836,2.025194562,4.817103782
1/26/2010,25567.56419,25925.88247,25209.24591,25925.88247,25214.19818,1.986172733,4.590370906
1/27/2010,25576.2929,25950.32597,25202.25984,25950.32597,25207.65094,1.920947143,4.791702123
1/28/2010,24751.22247,25199.71764,24302.72731,24302.72731,25207.9944,2.032309542,5.280624163
1/29/2010,24906.52597,25195.28971,24617.76223,24617.76223,25198.67688,1.955946474,4.940913372
1/30/2010,23989.57968,25141.09213,22838.06724,22838.06724,25199.15225,1.931023378,5.054825801
1/31/2010,26262.65357,27373.62292,25151.68422,27373.62292,25196.77335,2.147272274,4.945209997
2/1/2010,23010.63634,25014.2779,21006.99478,21006.99478,25205.3847,2.054753023,5.112333066
2/2/2010,26437.70227,27721.36949,25154.03505,27721.36949,25213.47662,2.064363895,5.014142533
2/3/2010,23448.0575,25093.75752,21802.35748,21802.35748,25217.97934,1.960840148,4.986281598
2/4/2010,26429.76711,27701.84141,25157.69281,27701.84141,25216.10672,1.981402165,5.122755667
2/5/2010,24781.19336,25219.59439,24342.79234,24342.79234,25227.48977,1.975142333,4.906864412
2/6/2010,23665.28625,25122.91251,22207.65999,22207.65999,25218.58554,2.033723891,5.074415557
2/7/2010,25940.75987,26692.13222,25189.38752,26692.13222,25210.53834,2.064180345,4.965055668
2/8/2010,26380.77214,27605.85238,25155.69191,27605.85238,25210.05797,1.996974863,4.978514749
2/9/2010,24670.49887,25210.87981,24130.11793,24130.11793,25222.98135,1.920735501,4.8362805
2/10/2010,26130.57677,27072.07523,25189.07831,27072.07523,25221.82125,2.076057046,4.95680887
2/11/2010,22339.19103,24891.53798,19786.84408,19786.84408,25220.77062,2.003340387,4.89175149
2/12/2010,23547.7266,25102.57862,21992.87458,21992.87458,25212.50353,1.855916362,5.225984036
2/13/2010,26847.52065,28582.41943,25112.62188,28582.41943,25217.92695,1.786470525,4.663185667
2/14/2010,24941.30704,25220.23724,24662.37683,24662.37683,25223.39192,2.029789718,5.177851978
2/15/2010,22878.92796,25009.20019,20748.65573,20748.65573,25227.91603,1.91705262,4.651148464
2/16/2010,24342.88763,25193.50868,23492.26659,23492.26659,25224.30844,2.043106213,5.107443128
2/17/2010,24055.83674,25166.49529,22945.17819,22945.17819,25220.25658,1.922438169,4.832453953
2/18/2010,25003.62421,25211.10644,24796.14197,24796.14197,25212.84256,2.013318577,5.113264453
2/19/2010,24745.93021,25204.65911,24287.20131,24287.20131,25213.32343,1.962159847,4.975728198
2/20/2010,25432.64675,25660.18212,25205.11138,25660.18212,25207.12899,2.175192081,4.713529329
2/21/2010,25112.84982,25200.07434,25025.62529,25025.62529,25200.37836,2.095031566,5.271723708
2/22/2010,26911.08118,28740.68386,25081.47851,28740.68386,25197.94915,2.13472969,5.155329262
2/23/2010,25729.97278,26276.15397,25183.79158,26276.15397,25195.14461,2.002404777,5.100635091
2/24/2010,25768.54468,26358.22125,25178.86812,26358.22125,25192.06015,2.082236094,4.871926051
2/25/2010,26662.52569,28215.82728,25109.22411,28215.82728,25194.73448,2.009165008,5.162216923
2/26/2010,24705.43261,25185.66762,24225.1976,24225.1976,25195.18769,2.146959137,4.743349676
2/27/2010,23603.97785,25093.24422,22114.71149,22114.71149,25193.53557,1.992743793,4.554470775
2/28/2010,26715.04067,28327.25374,25102.82761,28327.25374,25194.58486,1.860251066,4.687534826
3/1/2010,25359.98522,25532.23245,25187.73798,25532.23245,25188.90001,1.800137847,4.815602393
3/2/2010,25365.013,25541.74526,25188.28074,25541.74526,25189.50361,2.166831112,4.849032623
3/3/2010,24392.67642,25165.10702,23620.24583,23620.24583,25190.36708,2.047850447,4.913031286
